scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%
2026-07-30,6919.TW,康霈*,103.0,黃金交叉、週即將黃金交叉,59.0,C觀察,2.08,>MA5,空頭,28.9,25.6,45.0,45.1,-0.6297,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93.0,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,8114.TW,振樺電,209.5,週即將黃金交叉,55.0,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100.0,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.67,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,8421.TWO,旭源,15.55,跳空、黃金交叉,64.0,C觀察,4.44,>MA5,糾結,45.4,36.6,50.7,45.1,-0.0868,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,9907.TW,統一實,15.35,週黃金交叉,70.0,B可追蹤,0.53,>MA5,糾結,68.4,57.3,16.9,16.0,0.0564,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,9917.TW,中保科,111.0,趨勢突破,89.0,A強勢追蹤,1.78,>MA5,多頭,78.3,71.1,28.7,31.8,0.6823,趨勢突破,2.57,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,9939.TW,宏全,130.0,週即將黃金交叉,66.0,B可追蹤,0.13,>MA5,多頭,59.9,66.5,63.5,64.6,0.3505,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,9940.TW,信義,20.8,黃金交叉,71.0,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,9945.TW,潤泰新,26.8,黃金交叉、趨勢突破,99.0,A強勢追蹤,0.56,>MA5,糾結,53.1,49.3,69.3,65.3,-0.0201,趨勢突破,1.62,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
