scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-16,6477.TW,安集,38.25,3K反轉、Buy01、漲停、漲幅達標、周1K,買,90,A強勢追蹤,2.78,>MA5,空頭,4939.0,tracking
2026-08-16,6672.TW,騰輝電子-KY,270.0,廣義上升三法,買,73,B可追蹤,6.56,>MA5,多頭,6294.5,tracking
2026-08-16,6753.TW,龍德造船,158.0,漲停、漲幅達標、周1K,買,100,A強勢追蹤,6.28,>MA5,多頭,8145.1,tracking
2026-08-16,6770.TW,力積電,78.4,廣義上升三法、周1K,買,83,A強勢追蹤,7.49,>MA5,多頭,527933.5,tracking
2026-08-16,7788.TW,松川精密,268.0,周1K,買,64,C觀察,6.35,>MA5,多頭,1801.8,tracking
2026-08-16,7795.TW,長廣,536.0,雙跳空、周1K,買,63,C觀察,7.83,>MA5,多頭,2980.1,tracking
2026-08-16,8033.TW,雷虎,201.5,漲停、漲幅達標、三白兵、周1K,買,89,A強勢追蹤,0.72,>MA5,多頭,16897.7,tracking
2026-08-16,8039.TW,台虹,272.5,漲幅達標、三白兵、下降趨勢線突破,買,73,B可追蹤,12.67,>MA5,多頭,55936.9,tracking
2026-08-16,8046.TW,南電,1305.0,廣義上升三法、漲幅達標、周1K,買,93,A強勢追蹤,7.69,>MA5,多頭,23319.3,tracking
2026-08-16,8070.TW,長華*,49.65,廣義上升三法,買,58,C觀察,1.66,>MA5,多頭,4469.7,tracking
2026-08-16,8222.TW,寶一,41.3,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,4.2,>MA5,多頭,4901.9,tracking
2026-08-16,8996.TW,高力,1280.0,周1K,買,60,C觀察,10.26,>MA5,多頭,6188.9,tracking
2026-08-16,9904.TW,寶成,25.25,3K反轉、廣義上升三法、布林縮窄突破、單跳空、下降趨勢線突破,買,100,A強勢追蹤,1.69,>MA5,糾結,55096.7,tracking
2026-08-16,9933.TW,中鼎,42.9,廣義上升三法、周1K,買,79,A強勢追蹤,4.94,>MA5,多頭,4408.0,tracking
2026-08-16,9945.TW,潤泰新,29.8,廣義上升三法、布林縮窄突破、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,4.95,>MA5,多頭,37276.6,tracking
2026-08-16,9105.TW,泰金寶-DR,8.61,廣義上升三法、KD高腳、周1K,買,98,A強勢追蹤,1.89,>MA5,多頭,33834.3,tracking
2026-08-16,1336.TWO,台翰,17.65,廣義上升三法、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,8.52,>MA5,多頭,3475.0,tracking
2026-08-16,1586.TWO,和勤,19.2,布林縮窄突破,買,64,C觀察,2.43,>MA5,多頭,1129.0,tracking
2026-08-16,3211.TWO,順達,391.0,周1K,買,55,C觀察,4.5,MA5~10,多頭,6725.0,tracking
2026-08-16,3230.TWO,錦明,44.45,3K反轉、廣義上升三法、漲停、漲幅達標、周1K,買,100,A強勢追蹤,2.1,>MA5,多頭,1589.0,tracking
2026-08-16,3234.TWO,光環,136.5,周1K,買,60,C觀察,12.45,>MA5,多頭,3410.0,tracking
2026-08-16,3287.TWO,廣寰科,37.5,廣義上升三法、周1K,買,79,A強勢追蹤,11.46,>MA5,多頭,2803.0,tracking
2026-08-16,3388.TWO,崇越電,83.9,廣義上升三法、布林縮窄突破、漲停、漲幅達標,買,100,A強勢追蹤,5.59,>MA5,多頭,2726.0,tracking
2026-08-16,3455.TWO,由田,230.0,廣義上升三法,買,69,B可追蹤,7.89,>MA5,多頭,2374.0,tracking
2026-08-16,3490.TWO,單井,39.65,廣義上升三法、雙跳空、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,14.27,>MA5,多頭,12684.0,tracking
2026-08-16,3498.TWO,陽程,158.0,廣義上升三法、雙跳空、雙漲停、漲停、漲幅達標、單跳空、三白兵、周1K,買,100,A強勢追蹤,15.34,>MA5,多頭,6192.0,tracking
2026-08-16,4416.TWO,三圓,10.85,3K反轉、KD高腳、單跳空,買,96,A強勢追蹤,1.76,>MA5,多頭,1764.0,tracking
2026-08-16,4533.TWO,協易機,28.4,廣義上升三法,買,69,B可追蹤,5.2,>MA5,多頭,2554.0,tracking
2026-08-16,4541.TWO,晟田,73.9,廣義上升三法、周1K,買,67,B可追蹤,3.3,>MA5,多頭,17541.0,tracking
2026-08-16,4931.TWO,新盛力,263.0,巧妙點、周1K,買,75,A強勢追蹤,10.82,>MA5,多頭,1620.0,tracking
2026-08-16,5351.TWO,鈺創,133.0,廣義上升三法、周1K,買,83,A強勢追蹤,16.18,>MA5,多頭,10940.0,tracking
2026-08-16,5371.TWO,中光電,90.1,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,4.04,>MA5,多頭,36460.0,tracking
2026-08-16,5464.TWO,霖宏,75.4,雙跳空、單跳空、周1K,買,64,C觀察,4.14,>MA5,糾結,1377.0,tracking
2026-08-16,5475.TWO,德宏,170.5,廣義上升三法、單跳空、三白兵,買,89,A強勢追蹤,11.01,>MA5,多頭,27380.0,tracking
2026-08-16,5864.TWO,致和證,34.2,廣義上升三法、雙跳空、周1K,買,84,A強勢追蹤,4.74,>MA5,糾結,3870.0,tracking
2026-08-16,6121.TWO,新普,412.0,周1K,買,55,C觀察,4.42,MA5~10,多頭,1213.0,tracking
2026-08-16,6125.TWO,廣運,51.6,廣義上升三法,買,58,C觀察,1.53,>MA5,多頭,1022.0,tracking
2026-08-16,6134.TWO,萬旭,28.7,廣義上升三法,買,61,C觀察,3.12,>MA5,多頭,1011.0,tracking
2026-08-16,6173.TWO,信昌電,210.0,三白兵、周1K,買,65,B可追蹤,9.53,>MA5,多頭,18766.0,tracking
2026-08-16,6259.TWO,百徽,33.45,廣義上升三法、Buy01、周1K,買,73,B可追蹤,3.51,>MA5,糾結,1412.0,tracking
2026-08-16,6265.TWO,方土昶,62.5,廣義上升三法、單跳空、周1K,買,100,A強勢追蹤,8.89,>MA5,多頭,14829.0,tracking
2026-08-16,6274.TWO,台燿,1675.0,廣義上升三法、周1K,買,75,A強勢追蹤,11.6,>MA5,多頭,3185.0,tracking
2026-08-16,6538.TWO,倉和,184.0,周1K,買,60,C觀察,11.94,>MA5,多頭,5629.0,tracking
2026-08-16,6716.TWO,應廣,123.5,廣義上升三法、周1K,買,79,A強勢追蹤,14.88,>MA5,多頭,2054.0,tracking
2026-08-16,6727.TWO,亞泰金屬,432.0,漲停、漲幅達標、下降趨勢線突破,買,87,A強勢追蹤,6.85,>MA5,多頭,1883.0,tracking
2026-08-16,6761.TWO,穩得,184.0,廣義上升三法、島狀反轉、單跳空、周1K,買,100,A強勢追蹤,8.29,>MA5,多頭,1590.0,tracking
2026-08-16,6829.TWO,千附精密,244.0,廣義上升三法、漲停、漲幅達標、周1K,買,100,A強勢追蹤,9.6,>MA5,多頭,2709.0,tracking
2026-08-16,6840.TWO,東研信超,81.0,雙跳空、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,10.55,>MA5,多頭,2286.0,tracking
2026-08-16,7402.TWO,邑錡,115.5,3K反轉、KD高腳、漲停、漲幅達標、下降趨勢線突破、周1K,買,100,A強勢追蹤,2.28,>MA5,糾結,1387.0,tracking
2026-08-16,7792.TWO,安葆,250.0,雙跳空,買,61,C觀察,8.3,>MA5,多頭,1331.0,tracking
2026-08-16,8043.TWO,蜜望實,146.0,周1K,買,60,C觀察,4.19,>MA5,多頭,3696.0,tracking
2026-08-16,8358.TWO,金居,428.50,廣義上升三法、周1K,買,75,A強勢追蹤,6.98,>MA5,多頭,44088.0,tracking
