scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-20,1101.TW,台泥,24.8,KD高腳、下降趨勢線突破,買,60,C觀察,1.08,>MA5,糾結,44185.3,tracking
2026-08-20,1102.TW,亞泥,34.7,布林縮窄突破、單跳空、周1K,買,100,A強勢追蹤,2.85,>MA5,多頭,25193.9,tracking
2026-08-20,1216.TW,統一,78.2,廣義上升三法,買,62,C觀察,0.93,>MA5,多頭,18401.2,tracking
2026-08-20,1229.TW,聯華,42.05,廣義上升三法,買,67,B可追蹤,1.19,>MA5,多頭,3048.8,tracking
2026-08-20,1316.TW,上曜,10.65,3K反轉、下降趨勢線突破,買,63,C觀察,1.35,>MA5,多頭,3260.4,tracking
2026-08-20,1319.TW,東陽,83.0,3K反轉、廣義上升三法、Buy01,買,98,A強勢追蹤,3.59,>MA5,多頭,1867.7,tracking
2026-08-20,1402.TW,遠東新,29.2,布林縮窄突破、雙跳空、單跳空、周1K,買,100,A強勢追蹤,2.67,>MA5,多頭,37760.9,tracking
2026-08-20,1504.TW,東元,73.1,廣義上升三法、Buy01、KD高腳,買,100,A強勢追蹤,3.35,>MA5,多頭,16901.5,tracking
2026-08-20,1513.TW,中興電,166.0,廣義上升三法,買,58,C觀察,0.62,MA5~10,多頭,2142.0,tracking
2026-08-20,1515.TW,力山,34.5,KD高腳、漲停、漲幅達標、下降趨勢線突破,買,92,A強勢追蹤,1.0,>MA5,多頭,5074.0,tracking
2026-08-20,1519.TW,華城,727.0,廣義上升三法、下降趨勢線突破,買,59,C觀察,0.91,>MA5,多頭,2407.3,tracking
2026-08-20,1710.TW,東聯,15.2,3K反轉、廣義上升三法,買,64,C觀察,-2.06,>MA5,多頭,4920.3,tracking
2026-08-20,1714.TW,和桐,17.0,3K反轉、巧妙點、下降趨勢線突破,買,87,A強勢追蹤,1.84,>MA5,多頭,10184.8,tracking
2026-08-20,1795.TW,美時,195.0,KD高腳、單跳空,買,67,B可追蹤,1.11,>MA5,糾結,3025.5,tracking
2026-08-20,1802.TW,台玻,57.7,廣義上升三法,買,63,C觀察,1.76,>MA5,多頭,75411.7,tracking
2026-08-20,1808.TW,潤隆,34.5,廣義上升三法、布林縮窄突破、周1K,買,100,A強勢追蹤,2.65,>MA5,多頭,2675.4,tracking
2026-08-20,1904.TW,正隆,25.5,廣義上升三法、KD高腳,買,92,A強勢追蹤,4.04,>MA5,多頭,4705.7,tracking
2026-08-20,2027.TW,大成鋼,50.5,KD高腳,買,77,A強勢追蹤,4.52,>MA5,多頭,15936.3,tracking
2026-08-20,2030.TW,彰源,21.85,周1K,買,77,A強勢追蹤,5.34,>MA5,多頭,3866.4,tracking
2026-08-20,2031.TW,新光鋼,46.05,巧妙點,買,61,C觀察,3.49,>MA5,多頭,1606.5,tracking
2026-08-20,2034.TW,允強,20.45,3K反轉、KD高腳,買,72,B可追蹤,1.23,>MA5,糾結,2598.2,tracking
2026-08-20,2103.TW,台橡,27.85,下降趨勢線突破,買,55,C觀察,3.95,>MA5,多頭,5724.5,tracking
2026-08-20,2104.TW,國際中橡,10.45,3K反轉、單跳空、下降趨勢線突破,買,83,A強勢追蹤,0.2,>MA5,多頭,2157.9,tracking
