scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-12,1101.TW,台泥,24.65,廣義上升三法,買,69,B可追蹤,2.67,>MA5,多頭,19811.3,tracking
2026-08-12,1319.TW,東陽,79.2,廣義上升三法、周1K,買,79,A強勢追蹤,2.77,>MA5,多頭,3295.7,tracking
2026-08-12,1416.TW,廣豐,11.4,3K反轉、布林縮窄突破、單跳空、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,1.32,>MA5,糾結,4620.0,tracking
2026-08-12,1513.TW,中興電,165.5,單跳空、廣義上升三法、周1K,買,86,A強勢追蹤,0.06,>MA5,糾結,7249.0,tracking
2026-08-12,1517.TW,利奇,12.3,3K反轉、布林縮窄突破、廣義上升三法、下降趨勢線突破(中短期),買,100,A強勢追蹤,4.69,>MA5,糾結,3039.0,tracking
2026-08-12,1526.TW,日馳,19.0,周1K,買,64,C觀察,7.53,>MA5,多頭,1281.0,tracking
2026-08-12,1563.TW,巧新,65.3,廣義上升三法、周1K,買,65,B可追蹤,4.45,>MA5,糾結,3108.8,tracking
2026-08-12,1597.TW,直得,149.0,廣義上升三法,買,61,C觀察,4.13,>MA5,多頭,1251.4,tracking
2026-08-12,1605.TW,華新,40.0,廣義上升三法、周1K,買,88,A強勢追蹤,6.32,>MA5,多頭,94217.3,tracking
2026-08-12,1608.TW,華榮,37.95,周1K,買,77,A強勢追蹤,5.94,>MA5,多頭,19547.6,tracking
2026-08-12,1612.TW,宏泰,34.65,廣義上升三法,買,70,B可追蹤,4.13,>MA5,多頭,2301.0,tracking
2026-08-12,1618.TW,合機,41.35,單跳空、廣義上升三法、周1K,買,99,A強勢追蹤,3.03,>MA5,多頭,1068.8,tracking
2026-08-12,1710.TW,東聯,15.25,巧妙點、廣義上升三法,買,71,B可追蹤,2.02,>MA5,糾結,4841.0,tracking
2026-08-12,1714.TW,和桐,17.4,廣義上升三法、周1K,買,88,A強勢追蹤,5.15,>MA5,多頭,24717.9,tracking
2026-08-12,1717.TW,長興,78.6,廣義上升三法、漲幅達標,買,71,B可追蹤,6.57,>MA5,多頭,44608.6,tracking
2026-08-12,1718.TW,中纖,11.2,漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中短期)、周1K,買,74,B可追蹤,-1.96,>MA5,糾結,43284.2,tracking
2026-08-12,1802.TW,台玻,57.6,單跳空、廣義上升三法,買,60,C觀察,0.66,>MA5,糾結,38065.6,tracking
2026-08-12,1904.TW,正隆,25.15,廣義上升三法、周1K,買,92,A強勢追蹤,6.4,>MA5,多頭,6168.9,tracking
2026-08-12,2009.TW,第一銅,40.05,廣義上升三法,買,65,B可追蹤,2.54,>MA5,多頭,2392.5,tracking
2026-08-12,2027.TW,大成鋼,46.85,廣義上升三法,買,69,B可追蹤,3.72,>MA5,多頭,10090.1,tracking
2026-08-12,2030.TW,彰源,21.55,廣義上升三法、周1K,買,92,A強勢追蹤,9.15,>MA5,多頭,5341.7,tracking
2026-08-12,2033.TW,佳大,22.0,三白兵、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,16.34,>MA5,多頭,2266.2,tracking
2026-08-12,2034.TW,允強,20.45,廣義上升三法、下降趨勢線突破(中短期),買,55,C觀察,2.07,>MA5,糾結,2190.3,tracking
2026-08-12,2049.TW,上銀,369.0,巧妙點,買,56,C觀察,3.63,MA5~10,多頭,3423.3,tracking
2026-08-12,2101.TW,南港,34.3,廣義上升三法,買,58,C觀察,0.09,MA5~10,多頭,1387.5,tracking
2026-08-12,2106.TW,建大,18.9,布林縮窄突破、廣義上升三法、KD高腳、周1K,買,100,A強勢追蹤,2.28,>MA5,多頭,1667.2,tracking
2026-08-12,2108.TW,南帝,30.85,3K反轉、布林縮窄突破、廣義上升三法、周1K,買,100,A強勢追蹤,4.07,>MA5,多頭,2573.7,tracking
2026-08-12,2201.TW,裕隆,28.35,單跳空、廣義上升三法、下降趨勢線突破(中短期),買,76,A強勢追蹤,0.8,>MA5,糾結,3816.0,tracking
2026-08-12,2312.TW,金寶,33.5,廣義上升三法、周1K,買,63,C觀察,0.58,>MA5,糾結,21730.6,tracking
2026-08-12,2317.TW,鴻海,270.0,3K反轉、廣義上升三法,買,90,A強勢追蹤,3.49,>MA5,多頭,59746.0,tracking
2026-08-12,2324.TW,仁寶,39.9,3K反轉、布林縮窄突破、單跳空、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,3.68,>MA5,多頭,171682.2,tracking
2026-08-12,2330.TW,台積電,2415.0,3K反轉、下降趨勢線突破(中長期),買,63,C觀察,0.04,>MA5,多頭,19132.8,tracking
2026-08-12,2353.TW,宏碁,31.75,廣義上升三法、周1K,買,77,A強勢追蹤,1.53,>MA5,多頭,24937.8,tracking
2026-08-12,2356.TW,英業達,69.0,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,3.54,>MA5,多頭,79680.3,tracking
2026-08-12,2357.TW,華碩,852.0,廣義上升三法、下降趨勢線突破(中長期)、周1K,買,96,A強勢追蹤,4.06,>MA5,多頭,3087.5,tracking
2026-08-12,2360.TW,致茂,2195.0,廣義上升三法,買,61,C觀察,6.7,>MA5,多頭,2620.3,tracking
2026-08-12,2362.TW,藍天,48.9,3K反轉、單跳空、廣義上升三法,買,100,A強勢追蹤,3.92,MA5~10,多頭,3390.7,tracking
2026-08-12,2364.TW,倫飛,78.5,單跳空、下降趨勢線突破(中長期)、周1K,買,84,A強勢追蹤,4.69,>MA5,多頭,1032.4,tracking
2026-08-12,2371.TW,大同,26.35,廣義上升三法,買,57,C觀察,0.13,>MA5,糾結,9377.7,tracking
2026-08-12,2376.TW,技嘉,375.5,廣義上升三法、漲幅達標、周1K,買,97,A強勢追蹤,3.9,>MA5,多頭,17967.0,tracking
2026-08-12,2377.TW,微星,169.0,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,5.35,>MA5,多頭,46107.2,tracking
2026-08-12,2383.TW,台光電,5730.0,廣義上升三法、周1K,買,84,A強勢追蹤,5.46,>MA5,多頭,1628.1,tracking
2026-08-12,2392.TW,正崴,39.8,周1K,買,64,C觀察,3.42,>MA5,多頭,3111.4,tracking
2026-08-12,2395.TW,研華,686.0,廣義上升三法、周1K,買,88,A強勢追蹤,7.19,>MA5,多頭,5999.2,tracking
2026-08-12,2399.TW,映泰,45.1,3K反轉、廣義上升三法,買,89,A強勢追蹤,5.47,>MA5,多頭,11555.3,tracking
2026-08-12,2413.TW,環科,45.75,廣義上升三法、周1K,買,76,A強勢追蹤,3.42,>MA5,多頭,1433.6,tracking
2026-08-12,2417.TW,圓剛,45.2,廣義上升三法,買,70,B可追蹤,2.66,>MA5,多頭,5848.9,tracking
2026-08-12,2426.TW,鼎元,68.9,廣義上升三法、下降趨勢線突破(中長期),買,57,C觀察,4.46,>MA5,多頭,17356.5,tracking
2026-08-12,2428.TW,興勤,254.5,單跳空、漲停、廣義上升三法、島狀反轉、漲幅達標、周1K,買,100,A強勢追蹤,0.11,>MA5,糾結,2288.0,tracking
2026-08-12,2455.TW,全新,384.5,廣義上升三法,買,78,A強勢追蹤,5.48,>MA5,多頭,3937.9,tracking
2026-08-12,2461.TW,光群雷,18.0,3K反轉、單跳空,買,82,A強勢追蹤,2.7,>MA5,多頭,3121.5,tracking
2026-08-12,2464.TW,盟立,187.5,廣義上升三法、周1K,買,83,A強勢追蹤,7.35,>MA5,多頭,26698.1,tracking
2026-08-12,2465.TW,麗臺,95.5,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,5.57,>MA5,多頭,8860.9,tracking
2026-08-12,2476.TW,鉅祥,128.0,3K反轉、廣義上升三法、下降趨勢線突破(中長期),買,87,A強勢追蹤,0.82,>MA5,多頭,2216.3,tracking
2026-08-12,2493.TW,揚博,243.0,周1K,買,55,C觀察,5.0,>MA5,糾結,5360.8,tracking
2026-08-12,2495.TW,普安,39.95,單跳空、廣義上升三法、周1K,買,63,C觀察,-0.72,>MA5,糾結,1887.9,tracking
2026-08-12,2536.TW,宏普,21.25,廣義上升三法、周1K,買,88,A強勢追蹤,5.71,>MA5,多頭,1792.8,tracking
2026-08-12,2542.TW,興富發,44.8,廣義上升三法,買,62,C觀察,0.98,>MA5,多頭,6340.4,tracking
2026-08-12,2543.TW,皇昌,41.0,廣義上升三法、下降趨勢線突破(中長期)、周1K,買,82,A強勢追蹤,2.75,>MA5,糾結,2083.6,tracking
2026-08-12,2607.TW,榮運,50.5,3K反轉、布林縮窄突破、單跳空、廣義上升三法、島狀反轉、周1K,買,100,A強勢追蹤,2.98,>MA5,多頭,1288.7,tracking
