scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-14,1303.TW,南亞,207.5,廣義上升三法、漲停、漲幅達標、下降趨勢線突破、周1K,買,98,A強勢追蹤,3.53,>MA5,多頭,156039.3,tracking
2026-08-14,1319.TW,東陽,83.9,3K反轉、Buy01、單跳空、周1K,買,100,A強勢追蹤,4.64,>MA5,多頭,11859.7,tracking
2026-08-14,1409.TW,新纖,25.25,廣義上升三法、Buy01,買,65,B可追蹤,3.57,>MA5,多頭,20013.6,tracking
2026-08-14,1416.TW,廣豐,11.9,單跳空、周1K,買,72,B可追蹤,3.1,>MA5,多頭,1384.2,tracking
2026-08-14,1440.TW,南紡,13.55,廣義上升三法、周1K,買,70,B可追蹤,2.42,MA5~10,多頭,1837.9,tracking
2026-08-14,1504.TW,東元,70.6,Buy01、單跳空,買,61,C觀察,2.56,>MA5,多頭,17236.1,tracking
2026-08-14,1513.TW,中興電,170.0,單跳空、周1K,買,71,B可追蹤,3.06,>MA5,多頭,4147.9,tracking
2026-08-14,1515.TW,力山,33.55,3K反轉、漲停、漲幅達標,買,55,C觀察,-1.2,>MA5,糾結,2849.7,tracking
2026-08-14,1560.TW,中砂,725.0,周1K,買,61,C觀察,4.03,>MA5,多頭,1880.1,tracking
2026-08-14,1605.TW,華新,39.05,周1K,買,68,B可追蹤,6.48,>MA5,多頭,41794.5,tracking
2026-08-14,1608.TW,華榮,37.0,廣義上升三法、巧妙點,買,80,A強勢追蹤,4.33,>MA5,多頭,4743.2,tracking
2026-08-14,1609.TW,大亞,38.15,Buy01、周1K,買,62,C觀察,1.48,>MA5,多頭,4188.8,tracking
2026-08-14,1618.TW,合機,41.7,3K反轉、Buy01、單跳空、周1K,買,100,A強勢追蹤,3.97,>MA5,多頭,2650.0,tracking
2026-08-14,1709.TW,和益,30.35,廣義上升三法,買,73,B可追蹤,5.49,>MA5,多頭,13474.7,tracking
2026-08-14,1718.TW,中纖,10.95,廣義上升三法、巧妙點、周1K,買,66,B可追蹤,-1.11,>MA5,糾結,25046.6,tracking
2026-08-14,1802.TW,台玻,57.9,單跳空,買,62,C觀察,2.8,>MA5,多頭,25831.0,tracking
2026-08-14,1810.TW,和成,27.55,Buy01、漲停、漲幅達標,買,65,B可追蹤,3.09,>MA5,糾結,24338.1,tracking
2026-08-14,1909.TW,榮成,10.6,Buy01、周1K,買,62,C觀察,1.51,>MA5,多頭,6375.4,tracking
2026-08-14,2027.TW,大成鋼,47.6,單跳空,買,56,C觀察,3.7,MA5~10,多頭,36643.7,tracking
2026-08-14,2033.TW,佳大,22.6,廣義上升三法、KD高腳、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,16.36,>MA5,多頭,2219.9,tracking
2026-08-14,2208.TW,台船,20.3,3K反轉、周1K,買,70,B可追蹤,2.01,>MA5,糾結,19115.7,tracking
2026-08-14,2308.TW,台達電,1885.0,單跳空,買,57,C觀察,4.71,>MA5,多頭,13703.2,tracking
2026-08-14,2312.TW,金寶,33.75,廣義上升三法、周1K,買,80,A強勢追蹤,3.19,>MA5,多頭,20216.8,tracking
2026-08-14,2323.TW,中環,11.3,3K反轉、廣義上升三法、Buy01、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,4.12,>MA5,多頭,15093.0,tracking
2026-08-14,2324.TW,仁寶,43.2,漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,7.6,>MA5,多頭,402129.6,tracking
