scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-08-06,6166.TW,凌華,143.5,KD高腳,買,65,B可追蹤,5.43,>MA5,糾結,6819.5,tracking,1.0,,,,2.79,-3.48,2.79,-3.48,0.0
2026-08-06,6197.TW,佳必琪,316.5,廣義上升三法、周1K,買,77,A強勢追蹤,2.06,>MA5,糾結,1361.2,tracking,1.0,,,,-3.0,-7.42,-3.0,-7.42,0.0
2026-08-06,6215.TW,和椿,97.7,單跳空、廣義上升三法,買,68,B可追蹤,2.27,>MA5,糾結,1346.5,tracking,1.0,,,,7.47,1.13,7.47,1.13,0.0
2026-08-06,6672.TW,騰輝電子-KY,231.0,單跳空、廣義上升三法、周1K,買,82,A強勢追蹤,1.94,>MA5,糾結,2699.3,tracking,1.0,,,,1.08,-2.6,1.08,-2.6,0.0
2026-08-06,6799.TW,來頡,90.7,單跳空、周1K,買,68,B可追蹤,4.67,>MA5,糾結,1748.3,tracking,1.0,,,,1.43,-4.96,1.43,-4.96,0.0
2026-08-06,8016.TW,矽創,309.5,單跳空、周1K,買,63,C觀察,2.18,>MA5,糾結,1220.4,tracking,1.0,,,,4.36,-0.32,4.36,-0.32,0.0
2026-08-06,8046.TW,南電,1115.0,單跳空、周1K,買,67,B可追蹤,7.18,>MA5,糾結,3172.5,tracking,1.0,,,,0.9,-5.83,0.9,-5.83,0.0
2026-08-06,8112.TW,至上,86.2,單跳空、島狀反轉,買,57,C觀察,3.0,>MA5,空頭,15135.8,tracking,1.0,,,,6.61,3.02,6.61,3.02,0.0
2026-08-06,8996.TW,高力,1135.0,三白兵、單跳空、漲停、漲幅達標、周1K,買,98,A強勢追蹤,10.23,>MA5,糾結,4340.5,tracking,1.0,,,,0.0,-8.37,0.0,-8.37,0.0
2026-08-06,3081.TWO,聯亞,2375.0,三白兵、雙跳空、單跳空、雙漲停、漲停、漲幅達標,買,100,A強勢追蹤,20.57,>MA5,多頭,4837.3,tracking,1.0,,,,7.58,-4.21,7.58,-4.21,0.0
2026-08-06,3441.TWO,聯一光,85.6,巧妙點、廣義上升三法,買,80,A強勢追蹤,7.39,MA5~10,多頭,10252.3,tracking,1.0,,,,10.16,-1.4,10.16,-1.4,0.0
2026-08-06,4973.TWO,廣穎,160.5,單跳空、漲幅達標、周1K,買,79,A強勢追蹤,8.14,>MA5,糾結,4551.9,tracking,1.0,,,,2.49,-3.43,2.49,-3.43,0.0
2026-08-06,5289.TWO,宜鼎,1610.0,單跳空、漲停、漲幅達標、周1K,買,94,A強勢追蹤,9.68,>MA5,糾結,3640.6,tracking,1.0,,,,4.35,-7.14,4.35,-7.14,0.0
2026-08-06,6643.TWO,M31,455.0,漲停、廣義上升三法、漲幅達標,買,84,A強勢追蹤,6.1,>MA5,糾結,1117.7,tracking,1.0,,,,4.51,-5.05,4.51,-5.05,0.0
2026-08-06,6683.TWO,雍智科技,1165.0,三白兵、雙跳空、單跳空,買,68,B可追蹤,2.88,>MA5,糾結,1034.9,tracking,1.0,,,,2.15,-4.72,2.15,-4.72,0.0
2026-08-06,6913.TWO,鴻呈,139.0,3K反轉、漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,6.69,>MA5,糾結,1002.6,tracking,1.0,,,,8.63,1.44,8.63,1.44,0.0
2026-08-06,8027.TWO,鈦昇,183.0,三白兵、雙跳空、單跳空,買,59,C觀察,0.91,>MA5,空頭,2552.4,tracking,1.0,,,,-0.55,-6.01,-0.55,-6.01,0.0
2026-08-06,8088.TWO,品安,49.6,單跳空、廣義上升三法,買,72,B可追蹤,3.34,>MA5,糾結,5319.6,tracking,1.0,,,,-0.2,-5.04,-0.2,-5.04,0.0
2026-08-06,8111.TWO,立碁,62.9,單跳空,買,56,C觀察,7.1,>MA5,多頭,6553.7,tracking,1.0,,,,0.32,-6.2,0.32,-6.2,0.0
2026-08-06,1522.TW,堤維西,29.75,廣義上升三法,買,55,C觀察,2.01,>MA5,糾結,1086.1,tracking,1.0,,,,-1.18,-5.88,-1.18,-5.88,0.0
2026-08-06,1904.TW,正隆,22.3,3K反轉、周1K,買,75,A強勢追蹤,0.08,>MA5,糾結,3694.4,tracking,1.0,,,,4.26,-0.45,4.26,-0.45,0.0
2026-08-06,2031.TW,新光鋼,40.95,3K反轉、KD高腳,買,55,C觀察,2.68,>MA5,空頭,2499.6,tracking,1.0,,,,9.89,3.79,9.89,3.79,0.0
