scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-11,1101.TW,台泥,24.65,廣義上升三法,買,69,B可追蹤,2.67,>MA5,多頭,19778.5,tracking
2026-08-11,1229.TW,聯華,41.9,3K反轉、單跳空、下降趨勢線突破(中長期),買,77,A強勢追蹤,1.85,>MA5,糾結,3509.9,tracking
2026-08-11,1319.TW,東陽,78.8,廣義上升三法,買,74,B可追蹤,2.89,>MA5,多頭,3321.9,tracking
2026-08-11,1440.TW,南紡,13.7,廣義上升三法、周1K,買,74,B可追蹤,3.09,>MA5,糾結,3435.0,tracking
2026-08-11,1517.TW,利奇,12.3,3K反轉、布林縮窄突破、廣義上升三法、下降趨勢線突破(中短期),買,100,A強勢追蹤,4.69,>MA5,多頭,3037.2,tracking
2026-08-11,1526.TW,日馳,19.0,周1K,買,69,B可追蹤,7.53,>MA5,多頭,1277.0,tracking
2026-08-11,1563.TW,巧新,62.1,3K反轉、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期),買,95,A強勢追蹤,1.13,>MA5,糾結,4032.5,tracking
2026-08-11,1597.TW,直得,148.0,廣義上升三法,買,69,B可追蹤,5.02,>MA5,多頭,2017.9,tracking
2026-08-11,1605.TW,華新,38.3,廣義上升三法、周1K,買,83,A強勢追蹤,5.84,>MA5,多頭,50159.5,tracking
2026-08-11,1608.TW,華榮,36.45,廣義上升三法、周1K,買,84,A強勢追蹤,4.02,>MA5,多頭,8128.4,tracking
2026-08-11,1612.TW,宏泰,34.0,布林縮窄突破、廣義上升三法,買,74,B可追蹤,4.08,>MA5,糾結,2277.6,tracking
2026-08-11,1710.TW,東聯,14.95,廣義上升三法,買,60,C觀察,2.16,>MA5,糾結,6143.8,tracking
2026-08-11,1714.TW,和桐,16.65,廣義上升三法,買,55,C觀察,2.88,>MA5,糾結,22994.3,tracking
2026-08-11,1717.TW,長興,71.9,廣義上升三法,買,70,B可追蹤,3.58,>MA5,多頭,18097.6,tracking
2026-08-11,1736.TW,喬山,145.0,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,6.59,>MA5,多頭,1303.3,tracking
2026-08-11,1809.TW,中釉,41.95,單跳空、周1K,買,55,C觀察,1.06,>MA5,糾結,7881.6,tracking
2026-08-11,1904.TW,正隆,24.5,廣義上升三法、周1K,買,92,A強勢追蹤,5.04,>MA5,多頭,4533.4,tracking
2026-08-11,2009.TW,第一銅,40.05,廣義上升三法,買,70,B可追蹤,2.54,>MA5,多頭,2374.0,tracking
2026-08-11,2030.TW,彰源,21.15,雙跳空、單跳空,買,81,A強勢追蹤,9.13,>MA5,多頭,8711.0,tracking
2026-08-11,2033.TW,佳大,20.55,單跳空、雙漲停、漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,13.22,>MA5,多頭,2975.7,tracking
2026-08-11,2034.TW,允強,20.45,廣義上升三法、下降趨勢線突破(中短期),買,55,C觀察,2.07,>MA5,糾結,2190.1,tracking
2026-08-11,2103.TW,台橡,28.65,廣義上升三法、周1K,買,78,A強勢追蹤,9.98,>MA5,糾結,38256.5,tracking
2026-08-11,2106.TW,建大,18.9,布林縮窄突破、廣義上升三法、KD高腳、周1K,買,100,A強勢追蹤,2.28,>MA5,多頭,1652.1,tracking
2026-08-11,2301.TW,光寶科,268.5,周1K,買,68,B可追蹤,6.82,>MA5,多頭,48726.7,tracking
2026-08-11,2302.TW,麗正,46.05,廣義上升三法、漲幅達標、周1K,買,67,B可追蹤,3.74,>MA5,糾結,8351.3,tracking
2026-08-11,2316.TW,楠梓電,172.0,單跳空、廣義上升三法、周1K,買,77,A強勢追蹤,1.75,>MA5,糾結,3370.3,tracking
2026-08-11,2357.TW,華碩,839.0,3K反轉、廣義上升三法、KD高腳,買,100,A強勢追蹤,4.48,>MA5,多頭,3049.5,tracking
2026-08-11,2362.TW,藍天,47.3,廣義上升三法,買,61,C觀察,3.82,MA5~10,多頭,1969.8,tracking
2026-08-11,2376.TW,技嘉,350.5,廣義上升三法,買,59,C觀察,2.13,>MA5,糾結,4089.6,tracking
2026-08-11,2383.TW,台光電,5535.0,3K反轉、周1K,買,77,A強勢追蹤,4.08,>MA5,多頭,2812.6,tracking
2026-08-11,2392.TW,正崴,39.6,3K反轉、廣義上升三法、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,4.97,>MA5,多頭,4052.7,tracking
2026-08-11,2393.TW,億光,64.2,廣義上升三法、下降趨勢線突破(中短期)、周1K,買,79,A強勢追蹤,1.55,>MA5,糾結,3106.0,tracking
2026-08-11,2395.TW,研華,661.0,巧妙點、廣義上升三法,買,84,A強勢追蹤,7.67,>MA5,多頭,4154.5,tracking
2026-08-11,2397.TW,友通,67.7,廣義上升三法,買,69,B可追蹤,7.24,>MA5,多頭,1926.2,tracking
2026-08-11,2408.TW,南亞科,489.0,周1K,買,60,C觀察,4.54,>MA5,多頭,113445.7,tracking
2026-08-11,2421.TW,建準,151.5,廣義上升三法,買,74,B可追蹤,5.09,>MA5,多頭,2315.6,tracking
2026-08-11,2436.TW,偉詮電,67.0,廣義上升三法,買,65,B可追蹤,4.59,>MA5,多頭,5137.9,tracking
2026-08-11,2454.TW,聯發科,4020.0,3K反轉,買,71,B可追蹤,3.04,>MA5,多頭,7639.7,tracking
2026-08-11,2464.TW,盟立,187.5,廣義上升三法、周1K,買,88,A強勢追蹤,7.35,>MA5,多頭,26630.5,tracking
2026-08-11,2474.TW,可成,206.0,布林縮窄突破、廣義上升三法,買,78,A強勢追蹤,4.62,>MA5,糾結,6749.9,tracking
2026-08-11,2492.TW,華新科,300.5,漲停、廣義上升三法、漲幅達標、周1K,買,66,B可追蹤,-0.55,>MA5,糾結,54233.2,tracking
2026-08-11,2493.TW,揚博,239.5,漲停、廣義上升三法、漲幅達標、周1K,買,88,A強勢追蹤,2.24,>MA5,糾結,5968.1,tracking
2026-08-11,2536.TW,宏普,20.95,下降趨勢線突破(中長期)、周1K,買,63,C觀察,5.26,>MA5,糾結,2912.7,tracking
2026-08-11,2603.TW,長榮,218.0,布林縮窄突破、廣義上升三法、周1K,買,100,A強勢追蹤,3.51,>MA5,多頭,12458.0,tracking
2026-08-11,2609.TW,陽明,52.0,廣義上升三法,買,69,B可追蹤,2.03,>MA5,多頭,22709.5,tracking
2026-08-11,2855.TW,統一證,46.2,廣義上升三法、周1K,買,62,C觀察,0.55,>MA5,糾結,3004.3,tracking
2026-08-11,2929.TW,淘帝-KY,5.96,3K反轉、單跳空、漲幅達標、下降趨勢線突破(中短期、中長期)、周1K,買,74,B可追蹤,2.17,>MA5,空頭,1747.8,tracking
