scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-13,1305.TW,華夏,11.95,廣義上升三法、單跳空、島狀反轉,買,62,C觀察,-0.72,>MA5,糾結,2342.6,tracking
2026-08-13,1313.TW,聯成,11.95,3K反轉、廣義上升三法、單跳空、下降趨勢線突破,買,79,A強勢追蹤,-0.35,>MA5,糾結,4843.8,tracking
2026-08-13,1416.TW,廣豐,11.75,廣義上升三法、單跳空、周1K,買,99,A強勢追蹤,3.09,>MA5,多頭,1356.0,tracking
2026-08-13,1440.TW,南紡,13.65,Buy01、周1K,買,60,C觀察,2.35,>MA5,多頭,2163.4,tracking
2026-08-13,1455.TW,集盛,9.89,周1K,買,60,C觀察,3.61,>MA5,多頭,1417.7,tracking
2026-08-13,1504.TW,東元,70.4,3K反轉、Buy01、單跳空、周1K,買,100,A強勢追蹤,1.5,>MA5,多頭,22891.4,tracking
2026-08-13,1513.TW,中興電,171.0,Buy01、單跳空、周1K,買,81,A強勢追蹤,1.99,>MA5,多頭,15429.6,tracking
2026-08-13,1605.TW,華新,39.3,周1K,買,68,B可追蹤,6.21,>MA5,多頭,57873.8,tracking
2026-08-13,1609.TW,大亞,37.75,周1K,買,57,C觀察,0.91,>MA5,多頭,4470.3,tracking
2026-08-13,1709.TW,和益,30.65,廣義上升三法、漲幅達標、下降趨勢線突破、周1K,買,99,A強勢追蹤,5.44,>MA5,多頭,24642.8,tracking
2026-08-13,1736.TW,喬山,140.5,廣義上升三法,買,59,C觀察,1.57,>MA5,多頭,1006.6,tracking
2026-08-13,1904.TW,正隆,24.65,周1K,買,64,C觀察,4.16,>MA5,多頭,5195.6,tracking
2026-08-13,2027.TW,大成鋼,50.4,廣義上升三法、單跳空、漲幅達標、周1K,買,100,A強勢追蹤,6.17,>MA5,多頭,58602.8,tracking
2026-08-13,2030.TW,彰源,21.75,廣義上升三法、單跳空、周1K,買,100,A強勢追蹤,8.57,>MA5,多頭,3698.0,tracking
2026-08-13,2031.TW,新光鋼,45.95,廣義上升三法,買,78,A強勢追蹤,5.19,>MA5,多頭,2029.7,tracking
2026-08-13,2033.TW,佳大,20.6,三白兵、單跳空、周1K,買,92,A強勢追蹤,12.27,>MA5,多頭,1353.9,tracking
2026-08-13,2049.TW,上銀,381.0,單跳空,買,62,C觀察,4.64,>MA5,多頭,13179.6,tracking
2026-08-13,2103.TW,台橡,28.1,廣義上升三法,買,78,A強勢追蹤,8.22,>MA5,多頭,11366.6,tracking
2026-08-13,2201.TW,裕隆,28.7,單跳空、周1K,買,59,C觀察,0.7,>MA5,糾結,4125.7,tracking
2026-08-13,2305.TW,全友,30.55,3K反轉、漲停、KD高腳、漲幅達標、下降趨勢線突破,買,75,A強勢追蹤,1.41,>MA5,空頭,9337.5,tracking
2026-08-13,2308.TW,台達電,1885.0,單跳空、島狀反轉、下降趨勢線突破,買,68,B可追蹤,2.86,>MA5,糾結,14077.6,tracking
2026-08-13,2324.TW,仁寶,39.3,單跳空,買,57,C觀察,3.06,>MA5,多頭,211207.0,tracking
2026-08-13,2327.TW,國巨*,662.0,三白兵、單跳空、漲停、島狀反轉、漲幅達標、周1K,買,94,A強勢追蹤,2.48,>MA5,糾結,46572.2,tracking
2026-08-13,2330.TW,台積電,2435.0,單跳空、島狀反轉,買,63,C觀察,0.45,>MA5,多頭,23011.8,tracking
2026-08-13,2356.TW,英業達,68.8,周1K,買,60,C觀察,3.81,>MA5,多頭,71366.0,tracking
2026-08-13,2357.TW,華碩,937.0,單跳空、漲停、漲幅達標、周1K,買,100,A強勢追蹤,8.7,>MA5,多頭,3599.0,tracking
2026-08-13,2359.TW,所羅門,157.0,廣義上升三法、單跳空、漲停、漲幅達標、周1K,買,100,A強勢追蹤,3.58,>MA5,多頭,13553.5,tracking
2026-08-13,2360.TW,致茂,2300.0,單跳空、周1K,買,72,B可追蹤,6.65,>MA5,多頭,3520.8,tracking
2026-08-13,2375.TW,凱美,139.5,漲停、漲幅達標、周1K,買,68,B可追蹤,0.78,>MA5,糾結,12167.4,tracking
