scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-08-10,1319.TW,東陽,77.1,廣義上升三法,買,55,C觀察,2.17,>MA5,糾結,1466.5,tracking
2026-08-10,1409.TW,新纖,24.75,3K反轉、單跳空、漲停、島狀反轉、漲幅達標,買,98,A強勢追蹤,2.15,>MA5,糾結,6010.9,tracking
2026-08-10,1440.TW,南紡,13.4,單跳空、廣義上升三法、周1K,買,92,A強勢追蹤,2.07,>MA5,糾結,5573.0,tracking
2026-08-10,1455.TW,集盛,9.9,布林縮窄突破、單跳空、漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,4.89,>MA5,糾結,4754.4,tracking
2026-08-10,1590.TW,亞德客-KY,1550.0,廣義上升三法,買,69,B可追蹤,5.27,>MA5,多頭,1042.1,tracking
2026-08-10,1597.TW,直得,147.5,廣義上升三法,買,64,C觀察,5.15,>MA5,糾結,2616.9,tracking
2026-08-10,1605.TW,華新,37.5,3K反轉、單跳空、廣義上升三法、漲幅達標、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,5.12,>MA5,糾結,49548.0,tracking
2026-08-10,1608.TW,華榮,35.75,廣義上升三法,買,74,B可追蹤,4.51,>MA5,多頭,8067.7,tracking
2026-08-10,1618.TW,合機,40.35,3K反轉、布林縮窄突破、單跳空、廣義上升三法、下降趨勢線突破(中長期),買,100,A強勢追蹤,1.84,>MA5,多頭,2059.3,tracking
2026-08-10,1711.TW,永光,38.05,漲停、廣義上升三法、漲幅達標,買,69,B可追蹤,1.96,>MA5,糾結,2721.1,tracking
2026-08-10,1714.TW,和桐,16.65,廣義上升三法,買,55,C觀察,3.56,>MA5,糾結,30001.0,tracking
2026-08-10,1717.TW,長興,69.6,廣義上升三法,買,55,C觀察,2.1,>MA5,糾結,10630.2,tracking
2026-08-10,1795.TW,美時,193.5,3K反轉、廣義上升三法,買,71,B可追蹤,0.42,>MA5,糾結,1118.6,tracking
2026-08-10,1809.TW,中釉,41.0,漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期)、周1K,買,84,A強勢追蹤,1.77,>MA5,糾結,2966.1,tracking
2026-08-10,1904.TW,正隆,24.05,布林縮窄突破、單跳空、廣義上升三法、周1K,買,100,A強勢追蹤,4.8,>MA5,糾結,5328.8,tracking
2026-08-10,2002.TW,中鋼,19.45,布林縮窄突破、廣義上升三法,買,88,A強勢追蹤,1.78,>MA5,多頭,80295.0,tracking
2026-08-10,2010.TW,春源,23.2,布林縮窄突破,買,74,B可追蹤,3.89,>MA5,多頭,3029.4,tracking
2026-08-10,2014.TW,中鴻,18.0,布林縮窄突破、廣義上升三法,買,85,A強勢追蹤,2.71,>MA5,糾結,5640.3,tracking
2026-08-10,2027.TW,大成鋼,47.6,廣義上升三法,買,82,A強勢追蹤,5.3,>MA5,多頭,15659.0,tracking
2026-08-10,2030.TW,彰源,20.45,單跳空、漲停、漲幅達標,買,93,A強勢追蹤,7.83,>MA5,多頭,8366.8,tracking
2026-08-10,2031.TW,新光鋼,46.35,布林縮窄突破、廣義上升三法,買,100,A強勢追蹤,7.81,>MA5,多頭,6212.1,tracking
2026-08-10,2032.TW,新鋼,17.85,布林縮窄突破、廣義上升三法、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,5.42,>MA5,糾結,1740.0,tracking
2026-08-10,2033.TW,佳大,18.7,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,8.53,>MA5,多頭,1667.8,tracking
2026-08-10,2103.TW,台橡,27.5,雙跳空、單跳空、雙漲停、漲停、廣義上升三法、漲幅達標,買,100,A強勢追蹤,10.03,>MA5,糾結,24362.2,tracking
2026-08-10,2104.TW,國際中橡,10.5,廣義上升三法、下降趨勢線突破(中長期),買,65,B可追蹤,2.06,>MA5,糾結,6968.4,tracking
2026-08-10,2108.TW,南帝,29.85,布林縮窄突破、廣義上升三法,買,81,A強勢追蹤,2.75,>MA5,糾結,1827.5,tracking
2026-08-10,2301.TW,光寶科,271.5,漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,8.32,>MA5,多頭,25378.9,tracking
2026-08-10,2308.TW,台達電,1815.0,漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期),買,80,A強勢追蹤,2.58,>MA5,糾結,10082.0,tracking
2026-08-10,2317.TW,鴻海,264.5,廣義上升三法,買,74,B可追蹤,3.23,>MA5,多頭,28291.3,tracking
2026-08-10,2337.TW,旺宏,132.5,廣義上升三法、漲幅達標,買,59,C觀察,3.96,>MA5,糾結,112333.6,tracking
2026-08-10,2344.TW,華邦電,179.5,3K反轉、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期)、周1K,買,100,A強勢追蹤,7.36,>MA5,糾結,152411.6,tracking
2026-08-10,2352.TW,佳世達,29.7,廣義上升三法、周1K,買,74,B可追蹤,0.07,>MA5,糾結,8863.6,tracking
2026-08-10,2353.TW,宏碁,30.8,廣義上升三法,買,57,C觀察,0.81,>MA5,糾結,14388.1,tracking
2026-08-10,2354.TW,鴻準,63.5,廣義上升三法,買,78,A強勢追蹤,5.0,>MA5,多頭,32371.7,tracking
2026-08-10,2359.TW,所羅門,153.0,3K反轉、下降趨勢線突破(中長期)、周1K,買,79,A強勢追蹤,4.19,>MA5,糾結,14818.2,tracking
2026-08-10,2374.TW,佳能,72.0,廣義上升三法、下降趨勢線突破(中長期),買,59,C觀察,0.72,>MA5,糾結,3149.3,tracking
2026-08-10,2376.TW,技嘉,350.0,廣義上升三法,買,60,C觀察,2.56,>MA5,糾結,5549.4,tracking
2026-08-10,2377.TW,微星,155.5,廣義上升三法,買,60,C觀察,2.66,>MA5,糾結,9065.3,tracking
2026-08-10,2388.TW,威盛,80.9,3K反轉、廣義上升三法,買,88,A強勢追蹤,4.25,>MA5,多頭,4284.9,tracking
2026-08-10,2395.TW,研華,669.0,廣義上升三法,買,73,B可追蹤,8.04,>MA5,多頭,6104.7,tracking
2026-08-10,2408.TW,南亞科,502.0,單跳空、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中短期、中長期)、周1K,買,100,A強勢追蹤,9.73,>MA5,糾結,99898.7,tracking
2026-08-10,2409.TW,友達,27.0,單跳空、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中長期)、周1K,買,94,A強勢追蹤,1.37,>MA5,糾結,212593.6,tracking
2026-08-10,2413.TW,環科,44.8,漲停、廣義上升三法、漲幅達標、周1K,買,91,A強勢追蹤,2.33,>MA5,糾結,1771.1,tracking
2026-08-10,2417.TW,圓剛,44.7,廣義上升三法,買,56,C觀察,2.38,>MA5,糾結,1265.0,tracking
2026-08-10,2436.TW,偉詮電,66.7,單跳空、廣義上升三法、漲幅達標,買,71,B可追蹤,4.19,>MA5,糾結,8251.5,tracking
2026-08-10,2441.TW,超豐,129.0,3K反轉、漲停、廣義上升三法、漲幅達標、周1K,買,100,A強勢追蹤,2.58,>MA5,糾結,11041.4,tracking
2026-08-10,2455.TW,全新,384.5,巧妙點、廣義上升三法,買,85,A強勢追蹤,7.99,>MA5,多頭,4389.1,tracking
2026-08-10,2464.TW,盟立,180.5,廣義上升三法,買,78,A強勢追蹤,7.05,>MA5,多頭,12396.4,tracking
2026-08-10,2465.TW,麗臺,93.2,單跳空、漲停、廣義上升三法、漲幅達標、下降趨勢線突破(中短期、中長期)、周1K,買,100,A強勢追蹤,7.05,>MA5,糾結,6148.0,tracking
2026-08-10,2467.TW,志聖,549.0,漲停、廣義上升三法、漲幅達標,買,69,B可追蹤,0.77,>MA5,糾結,1411.0,tracking
2026-08-10,2485.TW,兆赫,43.55,廣義上升三法、漲幅達標,買,60,C觀察,0.71,>MA5,糾結,7934.8,tracking
