scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-30,9940.TW,信義,20.8,黃金交叉,71,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,tracking,1.0,,,,0.96,-1.68,0.96,-1.68,0.0
2026-07-30,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,tracking,1.0,,,,4.95,0.25,4.95,0.25,0.0
2026-07-30,5490.TWO,同亨,33.15,週黃金交叉,88,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,tracking,1.0,,,,0.6,-6.18,0.6,-6.18,0.0
2026-07-30,5904.TWO,寶雅,72.0,週即將黃金交叉、MACD翻正,82,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,0.1748,-,-,tracking,,,,,,,,,
2026-07-30,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.85,tracking,1.0,,,,0.95,-3.82,0.95,-3.82,0.0
2026-07-30,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,tracking,1.0,,,,-7.73,-13.65,-7.73,-13.65,0.0
2026-07-30,1477.TW,聚陽,222.0,MACD翻正,62,C觀察,0.72,>MA5,糾結,60.5,42.0,42.7,46.4,0.0257,-,-,tracking,1.0,,,,1.13,-1.8,1.13,-1.8,0.0
2026-07-30,2504.TW,國產,31.8,黃金交叉、週即將黃金交叉、趨勢突破,94,A強勢追蹤,-0.17,>MA5,糾結,58.6,54.4,19.6,20.9,0.1428,趨勢突破,0.94,tracking,1.0,,,,1.26,-1.89,1.26,-1.89,0.0
2026-07-30,2801.TW,彰銀,24.75,黃金交叉,57,C觀察,1.59,>MA5,多頭,81.0,77.7,91.0,82.6,-0.0118,-,-,tracking,1.0,,,,3.84,0.4,3.84,0.4,0.0
2026-07-30,2845.TW,遠東銀,13.4,黃金交叉,64,C觀察,0.93,>MA5,多頭,53.7,50.0,83.1,73.8,-0.0278,-,-,tracking,1.0,,,,1.87,-0.37,1.87,-0.37,0.0
