scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status
2026-08-03,3443.TW,創意,4185.0,漲幅達標、跳空、黃金交叉、週黃金交叉、趨勢突破,78,A強勢追蹤,-0.95,>MA5,空頭,48.6,40.4,34.0,33.9,-8.9001,趨勢突破,0.66,tracking
2026-08-03,3504.TW,揚明光,75.3,漲幅達標、趨勢突破,84,A強勢追蹤,3.02,>MA5,糾結,59.7,42.4,31.2,37.6,0.8786,趨勢突破,1.13,tracking
2026-08-03,3533.TW,嘉澤,2005.0,漲幅達標、跳空、黃金交叉、週黃金交叉、MACD翻正,67,B可追蹤,-0.57,>MA5,空頭,42.9,37.7,26.7,19.7,6.4646,-,-,tracking
2026-08-03,3653.TW,健策,3770.0,漲幅達標、跳空、黃金交叉、趨勢突破,100,A強勢追蹤,4.09,>MA5,糾結,57.7,50.7,42.7,34.5,39.4474,趨勢突破,1.3,tracking
2026-08-03,3702.TW,大聯大,116.0,黃金交叉,70,B可追蹤,1.26,>MA5,糾結,49.7,45.5,51.4,45.0,-0.1961,-,-,tracking
2026-08-03,4967.TW,十銓,240.0,週黃金交叉,59,C觀察,0.15,>MA5,糾結,79.2,65.1,30.3,28.1,3.4267,-,-,tracking
2026-08-03,5388.TW,中磊,87.4,即將黃金交叉、週黃金交叉,57,C觀察,0.85,>MA5,糾結,35.7,37.2,49.2,46.5,-0.291,-,-,tracking
2026-08-03,5521.TW,工信,10.15,黃金交叉、週黃金交叉、趨勢突破,100,A強勢追蹤,-1.32,>MA5,空頭,36.1,28.9,22.8,22.1,-0.0259,趨勢突破,1.21,tracking
2026-08-03,6005.TW,群益證,34.55,MACD翻正、趨勢突破,70,B可追蹤,-2.53,>MA5,空頭,52.1,46.0,28.0,39.9,0.0402,趨勢突破,0.75,tracking
2026-08-03,6176.TW,瑞儀,86.2,黃金交叉、週黃金交叉、MACD翻正,88,A強勢追蹤,-1.44,>MA5,空頭,43.3,41.3,21.1,18.4,0.0124,-,-,tracking
2026-08-03,6206.TW,飛捷,133.5,黃金交叉、週即將黃金交叉、MACD翻正,87,A強勢追蹤,1.72,>MA5,空頭,53.6,47.3,50.5,50.7,0.5044,-,-,tracking
2026-08-03,6285.TW,啟碁,239.0,漲幅達標、黃金交叉、週即將黃金交叉,55,C觀察,-2.26,>MA5,空頭,41.3,37.8,29.2,31.2,-1.8303,-,-,tracking
2026-08-03,6533.TW,晶心科,231.5,MACD翻正,65,B可追蹤,4.85,>MA5,糾結,51.5,38.7,50.5,36.4,0.4668,-,-,tracking
2026-08-03,6669.TW,緯穎,5925.0,漲幅達標、跳空、黃金交叉,87,A強勢追蹤,4.37,>MA5,糾結,67.6,61.2,75.3,64.1,45.813,-,-,tracking
2026-08-03,6919.TW,康霈*,109.5,趨勢突破,63,C觀察,3.41,>MA5,糾結,55.9,38.0,52.0,44.6,-0.0043,趨勢突破,1.42,tracking
2026-08-03,8114.TW,振樺電,215.0,漲幅達標、週黃金交叉、MACD翻正,60,C觀察,1.07,>MA5,糾結,36.7,42.9,36.0,32.6,0.2654,-,-,tracking
2026-08-03,8422.TW,可寧衛*,26.8,漲幅達標、黃金交叉、MACD翻正、趨勢突破,71,B可追蹤,-0.36,>MA5,空頭,48.2,32.7,24.4,27.6,0.0014,趨勢突破,1.26,tracking
2026-08-03,3324.TWO,雙鴻,944.0,跳空、黃金交叉、週黃金交叉、趨勢突破,100,A強勢追蹤,-0.84,>MA5,空頭,49.3,44.1,28.2,25.6,5.2278,趨勢突破,1.39,tracking
2026-08-03,3362.TWO,先進光,180.0,MACD翻正、趨勢突破,100,A強勢追蹤,3.79,>MA5,糾結,64.4,52.3,55.8,61.8,0.892,趨勢突破,0.92,tracking
2026-08-03,3441.TWO,聯一光,92.4,漲幅達標、週黃金交叉,69,B可追蹤,10.43,>MA5,多頭,80.2,67.5,71.1,68.6,2.2053,-,-,tracking
2026-08-03,4123.TWO,晟德,38.5,黃金交叉、週黃金交叉、趨勢突破,83,A強勢追蹤,-0.58,>MA5,空頭,60.8,59.1,38.2,35.5,-0.0039,趨勢突破,1.51,tracking
2026-08-03,4908.TWO,前鼎,141.0,跳空、黃金交叉、週即將黃金交叉、MACD翻正、趨勢突破,88,A強勢追蹤,-4.22,>MA5,空頭,40.4,33.2,15.2,17.4,0.9667,趨勢突破,0.82,tracking
2026-08-03,4931.TWO,新盛力,191.0,漲幅達標、黃金交叉、趨勢突破,55,C觀察,-7.07,>MA5,空頭,29.9,24.6,29.4,42.5,-3.7479,趨勢突破,0.97,tracking
2026-08-03,4973.TWO,廣穎,139.0,漲幅達標、黃金交叉、趨勢突破,65,B可追蹤,-3.98,>MA5,空頭,34.2,25.6,31.2,46.9,-1.534,趨勢突破,1.28,tracking
2026-08-03,5009.TWO,榮剛,32.65,黃金交叉、趨勢突破,57,C觀察,-1.79,>MA5,空頭,30.3,25.7,24.8,30.5,-0.13,趨勢突破,0.4,tracking
2026-08-03,6274.TWO,台燿,1220.0,漲幅達標、跳空、黃金交叉、趨勢突破,55,C觀察,-5.27,>MA5,空頭,36.4,29.1,30.7,42.9,-15.0226,趨勢突破,0.2,tracking
2026-08-03,8086.TWO,宏捷科,115.5,黃金交叉、趨勢突破,65,B可追蹤,-5.12,>MA5,空頭,36.2,30.7,16.7,19.7,-0.4098,趨勢突破,0.82,tracking
