scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status
2026-08-03,1447.TW,力鵬,6.89,黃金交叉、趨勢突破,58,C觀察,-7.39,>MA5,空頭,15.4,13.2,34.9,48.0,-0.2163,趨勢突破,0.6,tracking
2026-08-03,1504.TW,東元,65.3,黃金交叉、週即將黃金交叉、趨勢突破,83,A強勢追蹤,-2.81,>MA5,空頭,38.1,34.1,24.7,25.8,-0.2032,趨勢突破,0.47,tracking
2026-08-03,2027.TW,大成鋼,44.45,黃金交叉,85,A強勢追蹤,1.55,>MA5,糾結,65.7,65.6,68.6,62.3,0.2464,-,-,tracking
2026-08-03,2049.TW,上銀,332.0,漲幅達標、週黃金交叉、MACD翻正、趨勢突破,80,A強勢追蹤,-1.04,>MA5,空頭,54.8,40.9,33.2,28.9,0.4697,趨勢突破,1.89,tracking
2026-08-03,2317.TW,鴻海,253.0,黃金交叉、週黃金交叉,100,A強勢追蹤,0.95,>MA5,糾結,58.1,52.0,33.7,31.7,1.2115,-,-,tracking
2026-08-03,2356.TW,英業達,63.9,MACD翻正、趨勢突破,66,B可追蹤,-0.69,>MA5,空頭,57.4,46.7,34.6,39.4,0.0552,趨勢突破,1.02,tracking
2026-08-03,2362.TW,藍天,44.75,黃金交叉、週即將黃金交叉、MACD翻正、趨勢突破,100,A強勢追蹤,0.3,>MA5,糾結,55.1,54.1,32.7,35.6,0.1258,趨勢突破,1.65,tracking
2026-08-03,2383.TW,台光電,4980.0,跳空、趨勢突破,55,C觀察,-0.85,>MA5,空頭,53.0,43.3,42.1,49.3,-13.7954,趨勢突破,1.56,tracking
2026-08-03,2388.TW,威盛,75.9,漲幅達標、黃金交叉、週黃金交叉、MACD翻正、趨勢突破,100,A強勢追蹤,1.84,>MA5,空頭,60.3,54.3,38.8,36.7,0.0216,趨勢突破,1.21,tracking
2026-08-03,2395.TW,研華,576.0,即將黃金交叉、週即將黃金交叉,62,C觀察,2.36,>MA5,糾結,50.6,53.4,71.7,71.8,-1.1611,-,-,tracking
2026-08-03,2425.TW,承啟,48.3,MACD翻正,79,A強勢追蹤,4.18,>MA5,多頭,68.7,60.4,84.4,77.9,0.146,-,-,tracking
2026-08-03,2454.TW,聯發科,3910.0,漲幅達標、跳空、MACD翻正、趨勢突破,74,B可追蹤,0.55,>MA5,空頭,53.6,42.2,41.3,46.1,7.0932,趨勢突破,0.75,tracking
2026-08-03,2603.TW,長榮,207.5,黃金交叉、週黃金交叉,100,A強勢追蹤,1.6,>MA5,糾結,65.0,60.0,40.3,36.7,1.0533,-,-,tracking
2026-08-03,2606.TW,裕民,63.0,黃金交叉、週即將黃金交叉、MACD翻正,87,A強勢追蹤,0.34,>MA5,空頭,45.3,43.6,30.4,31.7,0.0428,-,-,tracking
2026-08-03,2615.TW,萬海,86.1,即將黃金交叉,63,C觀察,2.0,>MA5,糾結,61.2,61.3,72.5,66.6,0.3081,-,-,tracking
2026-08-03,2618.TW,長榮航,43.7,週黃金交叉,80,A強勢追蹤,0.97,>MA5,多頭,72.5,59.7,72.2,71.9,0.0953,-,-,tracking
2026-08-03,2637.TW,慧洋-KY,83.0,黃金交叉、週黃金交叉、趨勢突破,100,A強勢追蹤,1.43,>MA5,空頭,43.4,41.4,61.2,59.1,-0.3405,趨勢突破,1.18,tracking
2026-08-03,2885.TW,元大金,68.0,MACD翻正,57,C觀察,1.0,>MA5,糾結,67.8,52.4,67.1,72.5,0.1337,-,-,tracking
2026-08-03,3006.TW,晶豪科,198.0,漲幅達標、跳空、黃金交叉、趨勢突破,67,B可追蹤,-2.79,>MA5,空頭,36.3,29.9,29.7,35.7,-2.6508,趨勢突破,0.81,tracking
2026-08-03,3017.TW,奇鋐,2550.0,漲幅達標、跳空、黃金交叉、週黃金交叉、MACD翻正、趨勢突破,100,A強勢追蹤,0.84,>MA5,糾結,63.6,53.1,44.3,37.0,21.325,趨勢突破,1.24,tracking
2026-08-03,3033.TW,威健,46.7,黃金交叉、趨勢突破,57,C觀察,-2.38,>MA5,空頭,28.1,22.6,32.3,45.0,-0.6875,趨勢突破,0.76,tracking
2026-08-03,3036.TW,文曄,204.5,黃金交叉、週即將黃金交叉、趨勢突破,81,A強勢追蹤,-1.04,>MA5,空頭,53.7,44.3,21.0,21.6,1.4849,趨勢突破,1.11,tracking
2026-08-03,3229.TW,晟鈦,47.45,漲幅達標、跳空、週黃金交叉、趨勢突破,100,A強勢追蹤,7.56,>MA5,多頭,61.2,46.8,46.5,42.3,0.7041,趨勢突破,3.8,tracking
2026-08-03,3231.TW,緯創,186.0,趨勢突破,90,A強勢追蹤,4.87,>MA5,多頭,77.2,71.3,62.5,47.9,2.8216,趨勢突破,1.44,tracking
